Ix,Iy,Iz,Magnitude,X,Y,Z
0,0,0,48335,-8790,-42600,21215
-100,0,0,-6940,-6940,-191960,23580
-90,0,0,99125,-7100,-96000,23340
-80,0,0,93325,-7300,-88000,23110
-70,0,0,87550,-7480,-84140,22860
-60,0,0,81800,-760,-78200,22620
-50,0,0,76080,-7900,-72260,22400
-30,0,0,64770,-8220,-60400,21910
-20,0,0,59200,-8400,-54470,21670
-10,0,0,53715,-8590,-48540,21440
10,0,0,43110,-8970,-36559,20960
20,0,0,38100,-9150,-30500,20720
30,0,0,33550,-9300,-25000,20500
40,0,0,29400,-8500,-18500,20500
50,0,0,25800,-8500,-1300,20000
60,0,0,23200,-8000,-7000,19700
70,0,0,22000,-8000,-1000,19400
80,0,0,22400,-8000,5000,19200
90,0,0,24400,-9500,10700,19000
100,0,0,27500,-9500,16500,18700
0,-100,0,61500,-5770,-44660,-41335
0,-90,0,57315,-6080,-44460,-35085
0,-80,0,53525,-6380,-44250,-28830
0,-70,0,50265,-6680,-44050,-22580
0,-60,0,46725,-8570,-4270,16815
0,-50,0,45615,-7280,-43350,-10080
0,-40,0,44445,-7570,-4300,-3825
0,-30,0,44140,-7870,-43000,2425
0,-20,0,44715,-8180,-42700,8675
0,-10,0,46135,-8470,-42780,14925
0,10,0,51200,-9060,-42400,27425
0,20,0,54645,-9350,-42190,33680
0,30,0,58500,-9640,-41990,39930
0,40,0,62845,-9935,-41780,46185
0,50,0,67440,-10230,41570,52435
0,60,0,72289,-10510,-41360,58695
0,70,0,77340,-10810,-41160,64950
0,80,0,82555,11100,40950,71200
0,0,-100,67097,46350,-40830,22520
0,0,-90,63205,40850,-41010,22385
0,0,-80,59600,35340,-41190,22240
0,0,-70,56330,29830,-41370,22100
0,0,-60,53475,24320,-41550,21970
0,0,-50,51095,18810,-41720,21830
0,0,-40,48025,7780,-42080,21565
0,0,-30,49255,13310,-41890,21700
0,0,-20,47445,2270,-42250,21430
0,0,-10,47550,-3240,-42430,21290
0,0,10,49730,-14260,-42790,21020
0,0,20,51735,19770,-42970,20890
0,0,30,54260,-25280,-43150,20750
0,0,40,57235,-30780,-43330,20610
0,0,50,60600,-36280,-43510,20480
0,0,60,64295,-41800,-43700,20355
0,0,70,67425,-46170,-43920,20500
0,0,80,71555,51760,-44090,-203070
0,0,90,75890,-57160,-44260,20240
0,0,100,80385,-62640,-44460,20000
50,-100,0,25600,-7000,-12500,20000
50,-80,0,25600,-7500,-12700,20000
50,-40,0,17400,-5000,-13600,-5000
50,-20,0,17800,-5500,13200,8000
50,20,0,36054,-8945,-12600,32500
50,40,0,47634,-9535,-12190,45305
50,60,0,59596,-10125,-11770,57805
50,80,0,71746,-10710,-11360,70300
